Ano do Evento;Nome do Evento;Evento Gratuito;Qtd Total de Inscritos;Qtd Concluintes;Valor Recebido;% de Ocupação
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: A FORÇA DA REDE EMPRESARIAL LOCAL E REGIONAL;Sim;18;15;0;0.9
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: CAPITAL SOCIAL E CAPITAL HUMANO;Sim;18;15;0;0.6
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: CRIAÇÃO DE NOVAS EMPRESAS - A ATIVIDADE TURÍSTICA COMO FATOR DE DESENVOLVIMENTO LOCAL E REGIONAL;Sim;18;15;0;0.9
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: LIDERANÇA E EMPREENDEDORISMO LOCAL;Sim;18;17;0;0.9
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: O TERRITÓRIO E O DESENVOLVIMENTO LOCAL;Sim;17;17;0;0.85
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL JOÃO PESSOA - MÓDULO: TERRITÓRIO CRIATIVO E EMPREENDEDORISMO;Sim;15;15;0;0.75
2018;CURSO DE EMPREENDEDORES EM VISÃO TERRITORIAL SUSTENTÁVEL PATOS - MÓDULO: O PAPEL DAS NOVAS TECNOLOGIAS DA INFORMAÇÃO E DAS COMUNICAÇÕES NA COMPETITIVIDADE EMPRESARIAL DA REGIÃO;Sim;10;10;0;0.5
2018;CURSO DE FORMAÇÃO DE EMPREENDEDORES EM VISÃO TERRITORIAL - MÓDULO: CAPITAL SOCIAL E CAPITAL HUMANO;Não;10;8;9200;0.36
2018;Curso de Internacionalização de Negócios - Mindset Global;Não;46;46;20700;0.92
2018;Curso de Liderança;Sim;11;11;0;0.44
2018;CURSO DE ORATÓRIA;Não;29;29;2600;1
2018;Curso de Oratória;Não;42;42;3210;0.823529412
2018;Curso de Oratória;Sim;24;24;0;0.96
2018;Curso de Técnicas de Vendas;Não;23;22;1305.45;0.733333333
2018;Curso Desenvolvendo Habilidades Gerenciais - Turma Fechada;Não;15;15;675;0.75
2018;Curso em Técnicas de Produção;Sim;5;5;0;0.25
2018;CURSO EMPREENDA ATRAVÉS DA ORATÓRIA: SAIBA COMO SE EXPRESSAR PARA SE DAR BEM NOS NEGÓCIOS;Não;15;15;1170;1
2018;Curso Empreenda através da ORATÓRIA: saiba como se expressar para se dar bem nos negócios.;Não;18;18;1530;1
2018;Curso eSocial. EFD REINF e DCTF WEB;Sim;35;34;0;0.971428571
2018;CURSO FORMAÇÃO DE EMPREENDEDORES EM EVENTOS - MÓDULO: DESENVOLVIMENTO DE EQUIPES;Sim;14;14;0;0.7
