Estado,Município,Sexo,Faixa Etária,Saldo
MA,Bacuri,Masculino,40 a 49,0
MA,Bacuri,Masculino,50 a 64,0
MA,Bacuri,Masculino,65 ou mais,0
MA,Bacuri,Masculino,Total,-1
MA,Bacuri,Feminino,Até 17,0
MA,Bacuri,Feminino,18 a 24,0
MA,Bacuri,Feminino,25 a 29,-1
MA,Bacuri,Feminino,30 a 39,-2
MA,Bacuri,Feminino,40 a 49,1
MA,Bacuri,Feminino,50 a 64,0
MA,Bacuri,Feminino,65 ou mais,0
MA,Bacuri,Feminino,Total,-2
MA,Bacuri,Total,Até 17,0
MA,Bacuri,Total,18 a 24,1
MA,Bacuri,Total,25 a 29,-2
MA,Bacuri,Total,30 a 39,-3
MA,Bacuri,Total,40 a 49,1
MA,Bacuri,Total,50 a 64,0
MA,Bacuri,Total,65 ou mais,0
MA,Bacuri,Total,Total,-3
MA,Bacurituba,Masculino,Até 17,0
MA,Bacurituba,Masculino,18 a 24,0
MA,Bacurituba,Masculino,25 a 29,0
MA,Bacurituba,Masculino,30 a 39,0
MA,Bacurituba,Masculino,40 a 49,1
MA,Bacurituba,Masculino,50 a 64,0
MA,Bacurituba,Masculino,65 ou mais,0
MA,Bacurituba,Masculino,Total,1
MA,Bacurituba,Feminino,Até 17,0
MA,Bacurituba,Feminino,18 a 24,0
MA,Bacurituba,Feminino,25 a 29,-1
MA,Bacurituba,Feminino,30 a 39,-1
MA,Bacurituba,Feminino,40 a 49,0
MA,Bacurituba,Feminino,50 a 64,0
MA,Bacurituba,Feminino,65 ou mais,0
MA,Bacurituba,Feminino,Total,-2
MA,Bacurituba,Total,Até 17,0
MA,Bacurituba,Total,18 a 24,0
MA,Bacurituba,Total,25 a 29,-1
MA,Bacurituba,Total,30 a 39,-1
MA,Bacurituba,Total,40 a 49,1
MA,Bacurituba,Total,50 a 64,0
MA,Bacurituba,Total,65 ou mais,0
MA,Bacurituba,Total,Total,-1
MA,Balsas,Masculino,Até 17,50
MA,Balsas,Masculino,18 a 24,420
MA,Balsas,Masculino,25 a 29,62
MA,Balsas,Masculino,30 a 39,-66
MA,Balsas,Masculino,40 a 49,-17
MA,Balsas,Masculino,50 a 64,-19
MA,Balsas,Masculino,65 ou mais,-14
MA,Balsas,Masculino,Total,416
MA,Balsas,Feminino,Até 17,28
MA,Balsas,Feminino,18 a 24,187
MA,Balsas,Feminino,25 a 29,14
MA,Balsas,Feminino,30 a 39,-45
MA,Balsas,Feminino,40 a 49,-31
MA,Balsas,Feminino,50 a 64,-21
MA,Balsas,Feminino,65 ou mais,-1
MA,Balsas,Feminino,Total,131
MA,Balsas,Total,Até 17,78
MA,Balsas,Total,18 a 24,607
MA,Balsas,Total,25 a 29,76
MA,Balsas,Total,30 a 39,-111
MA,Balsas,Total,40 a 49,-48
MA,Balsas,Total,50 a 64,-40
MA,Balsas,Total,65 ou mais,-15
MA,Balsas,Total,Total,547
MA,Barao de Grajau,Masculino,Até 17,0
MA,Barao de Grajau,Masculino,18 a 24,12
MA,Barao de Grajau,Masculino,25 a 29,-4
MA,Barao de Grajau,Masculino,30 a 39,-2
MA,Barao de Grajau,Masculino,40 a 49,2
MA,Barao de Grajau,Masculino,50 a 64,-2
MA,Barao de Grajau,Masculino,65 ou mais,0
MA,Barao de Grajau,Masculino,Total,6
MA,Barao de Grajau,Feminino,Até 17,0
MA,Barao de Grajau,Feminino,18 a 24,15
MA,Barao de Grajau,Feminino,25 a 29,2
MA,Barao de Grajau,Feminino,30 a 39,-7
MA,Barao de Grajau,Feminino,40 a 49,0
MA,Barao de Grajau,Feminino,50 a 64,0
MA,Barao de Grajau,Feminino,65 ou mais,0
MA,Barao de Grajau,Feminino,Total,10
MA,Barao de Grajau,Total,Até 17,0
MA,Barao de Grajau,Total,18 a 24,27
MA,Barao de Grajau,Total,25 a 29,-2
MA,Barao de Grajau,Total,30 a 39,-9
MA,Barao de Grajau,Total,40 a 49,2
MA,Barao de Grajau,Total,50 a 64,-2
MA,Barao de Grajau,Total,65 ou mais,0
MA,Barao de Grajau,Total,Total,16
MA,Barra do Corda,Masculino,Até 17,6
MA,Barra do Corda,Masculino,18 a 24,43
MA,Barra do Corda,Masculino,25 a 29,-30
MA,Barra do Corda,Masculino,30 a 39,-10
